test_ename,test_cname,specimen,reference_range,detail_link
"Magnesium, Mg",鎂,血清(Serum),0.78~1.11 mmol/L (2013/11/13變更，舊參考值為 0.7 ~ 1.03 mmol/L),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=404&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Magnesium, Mg(STAT)",鎂,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=495&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Magnesium, Mg(Urine)",鎂(尿),尿液(Urine),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=518&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Methemoglobin(STAT),高鐵血紅素,血液(Blood),0 ~ 1.5 %,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=200&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Methotrexate,血中葉酸拮抗藥物Methotrexate濃度,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=227&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Microalbumin (urine),尿液微量蛋白,尿液(Urine),< 30 mg/L,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=519&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Microalbumin / Cre(urine),尿液微量蛋白/肌肝酸(尿),尿液(Urine),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=520&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
NSE(Neuron Specific Enolase),神經原特異烯醇(小細胞肺癌標記),血清(Serum),<12.5 ng/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=228&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
NT-pro BNP(STAT),血清B型利納利尿胜肽原,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=479&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
OGTT (1H),50公克葡萄糖耐受性試驗,血漿(NaF Plasma),"< 200 mg/dL
孕婦50g糖水試驗<130 mg/dL
孕婦100g糖水試驗<180 mg/dL",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=195&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Osmolarity(Blood),血液滲透壓,血清(Serum),"＜60歲：275~295 mOsm/Kg
≧60歲：280~301 mOsm/Kg",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=405&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Osmolarity(Urine),尿液滲透壓,尿液(Urine),300 ~ 1200 mOsm/Kg,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=521&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
PAPPA and Free Beta-HCG,懷孕第一期期唐氏症篩檢（試劑檢驗）,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=406&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Parathyroid hormone, i-PTH",副甲狀腺素,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=422&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
PH(STAT),酸鹼值,胸水(Pleural effusion)腹水(Ascites),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=47&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Phenobarbital,血中抗癲癇藥物Phenobarbital濃度,血清(Serum),有效治療濃度範圍：10 ~ 40 µg/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=229&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Phenytoin,血中抗癲癇藥物Phenytoin濃度,血清(Serum),有效治療濃度範圍：10 ~ 20 µg/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=230&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Phenytoin(STAT),血中抗癲癇藥物Phenytoin濃度,血清(Serum),有效治療濃度範圍：10 ~ 20 µg/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=246&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Phosphate, P",磷,血清(Serum),2.5~5 mg/dL (2013/11/13變更，舊參考值為 2.7 - 4.5 mg/dL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=407&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Phosphate, P(STAT)",磷,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=496&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Phosphate, P(Urine)",磷(尿),尿液(Urine),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=522&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
PIVKA-II,異常凝血酶原,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=604&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Plasma free Ca++(STAT),血漿游離鈣測定(iCa),動脈血或靜脈血,1.09~1.30 mmol/L,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=590&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Potassium, K",鉀,血清(Serum),3.5~5.1 mmol/L (2013/11/13變更，舊參考值為 3.5 ~ 5.3 mmol/L),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=408&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Potassium, K(STAT)",鉀,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=497&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Potassium, K(Urine)",鉀(尿),尿液(Urine),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=523&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Potassium, K(Urine)(STAT)",鉀(尿),尿液(Urine),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=531&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Prealbumin,前白蛋白（或甲狀腺素運載蛋白）,血清(Serum),17~34 mg/dL (2013/11/13變更，舊參考值為 16 - 40 mg/dL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=409&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Procalcitonin,前抑鈣素,血清(Serum),< 0.5 ng/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=410&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Progesterone,黃體素,血清(Serum),"Follicular：<1.13 ng/mL
Midcycle：0.48~1.72 ng/mL
Luteal：0.95~21 ng/mL
Postmenopausal：<1.0 ng/mL(Absolute Range)
Male：0.27~0.9 ng/mL(Absolute Range)
(2013/11/13變更，舊參考區間如下：
Follicular：0.1-1.70 nmol/L
Periovulatory：0.4-5.9 nmol/L
Mid-luteal：6.0-24.0 nmol/L
Luteal：1.0-22.4 nmol/L
Pregnacy(4-12week)：11.2-43.1 nmol/L)",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=231&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Prolactin(PRL),催乳激素,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=232&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
PSA,前列腺特異抗原,血清(Serum),"40~49歲：< 2.5 ng/mL
50~59歲：< 3.5 ng/mL
60~69歲：< 4.5 ng/mL
70~79歲：<6.5 ng/mL",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=441&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
RPR/VDRL test (Transplantation only),梅毒螺旋體性病研究試驗(移植檢驗專用),血清(Serum),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=498&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Rubella virus IgG,德國痲疹病毒Rubella IgG抗體,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=233&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Rubella virus IgM,德國痲疹病毒Rubella IgM抗體,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=234&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Saturated O2, SaO2(STAT)",氧氣飽和度,血液(Blood),動脈血：95 ~ 98 %；靜脈血：65 ~ 75 %,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=201&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
SCC,SCC腫瘤標記,血清(Serum),< 2.0 ng/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=442&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Sex hormone binding globulin(SHBG),性腺荷爾蒙結合球蛋白,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=235&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Sirolimus,Sirolimus全血濃度測定,全血(EDTA Whole Blood),"有效治療濃度範圍：
trough：4 - 15 ng/mL
(依合併藥物移植器官移植後時間及排斥程度而異)",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=129&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Sodium, Na",鈉,血清(Serum),136~145 mmol/L (2013/11/13變更，舊參考值為 135 ~ 148 mmol/L),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=411&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Sodium, Na(STAT)",鈉,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=499&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Sodium, Na(Urine)",鈉(尿),尿液(Urine),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=524&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Sodium, Na(Urine)(STAT)",鈉(尿),尿液(Urine),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=532&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
T3(EIA/LIA),三碘甲狀腺素,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=412&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
T4(Thyroxine),四碘甲狀腺素,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=413&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Tacrolimus(FK-506),抗排斥藥物FK-506血中濃度,全血(EDTA Whole Blood),有效治療濃度範圍：4 ~ 15 ng/mL (依合併藥物移植器官移植後時間及排斥程度而異),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=130&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Testosterone,睪固酮,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=236&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Theophylline,茶鹼,血清(Serum),"有效治療濃度範圍：
Peak：5~15 µg/mL；Neonate：5~10 µg/mL
(2014/11/03變更，舊參考值為10~20 µg/mL)",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=237&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Theophylline(STAT),茶鹼,血清(Serum),"有效治療濃度範圍：
Peak：5~15 µg/mL；Neonate：5~10 µg/mL
(2014/11/03變更，舊參考值為10~20 µg/mL)",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=248&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Thyroglobulin,甲狀腺球蛋白,血清(Serum),< 55 ng/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=414&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
TNF-alpha,Alpha型腫瘤壞死因子,血清(Serum),< 8.1 pg/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=415&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Total Protein (Blood),血中總蛋白量,血清(Serum),6.4~8.9 g/dL (2013/11/13變更，舊參考值為 6.8 ~ 8.7 g/dL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=416&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Total Protein (CSF),腦脊髓液總蛋白檢查,腦脊髓液(CSF),"成人：15-45 mg/dL
新生兒<1個月：15-130 mg/dL",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=40&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Total Protein (CSF)(STAT),腦脊髓液總蛋白檢查,腦脊髓液(CSF),"成人：15-45 mg/dL
新生兒<1個月：15-130 mg/dL",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=48&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Total Protein (Urine),尿液總白蛋白量,尿液(Urine),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=525&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Total Protein(STAT),血中總蛋白量,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=500&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Total Protein(Urine)(STAT),尿液總蛋白量(尿),尿液(Urine),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=533&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Toxoplasma IgG,弓漿蟲Toxoplasma IgG抗體,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=238&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Toxoplasma IgM,弓漿蟲Toxoplasma IgM抗體,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=239&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Transferrin,運鐵蛋白定量,血清(Serum),203~362 mg/dL (2013/11/13變更，舊參考值為 260 - 400 mg/dL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=417&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Triglyceride, TG",三酸甘油酯,血清(Serum),< 150 mg/dL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=418&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Triglyceride, TG(STAT)",三酸甘油,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=501&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Troponin-T (STAT),心肌旋轉蛋白T,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=596&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
UN (Blood),血中尿素氮,血清(Serum),7~25 mg/dL (2013/11/13變更，舊參考值為 4.5 - 24 mg/dL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=419&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
UN (Urine),尿中尿素氮,尿液(Urine),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=526&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
UN (Urine)(STAT),尿素氮(尿),尿液(Urine),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=534&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
UN(Blood)(STAT),尿素氮(血),血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=503&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Uric acid,UA",尿酸,血清(Serum),♂：4.4~7.6 mg/dL；♀：2.3~6.6 mg/dL (2013/11/13變更，舊參考值為♂：3.5 - 7.5 mg/dL；♀：2.6 - 7.5 mg/dL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=420&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Uric acid,UA(STAT)",尿酸,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=504&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Uric acid,UA(Urine)",尿酸(尿),尿液(Urine),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=527&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Urinary free cortisol(24 hr),游離腎上腺皮質固醇(24小時尿液),二十四小時尿液(24hrs Urine),4.3~176.0 µg/24hr,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=188&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Urine Protein-Creatinine Ratio(UPCR),尿蛋白/尿肌酸酐比值,尿液(Urine),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=528&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
